address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
3828 Portola Ave,Los Angeles,CA,90032,725000,NA,NA,NA,27,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3828-Portola-Ave-Los-Angeles-CA-90032/20690457_zpid/
4111 Abner St APT 1,Los Angeles,CA,90032,726000,NA,NA,NA,31,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4111-Abner-St-APT-1-Los-Angeles-CA-90032/20640138_zpid/
4111 Abner St,Los Angeles,CA,90032,726000,NA,NA,NA,30,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4111-Abner-St-Los-Angeles-CA-90032/2094127653_zpid/
Pueblo Ave,Los Angeles,CA,90032,NA,NA,NA,NA,537,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/123918644_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3240 Castalia Ave,Los Angeles,CA,90032,NA,NA,NA,NA,157,Auction,http://www.zillow.com/homes/for_sale//homedetails/3240-Castalia-Ave-Los-Angeles-CA-90032/2125316440_zpid/
2108 N Marianna Ave,Los Angeles,CA,90032,NA,NA,NA,NA,2495,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2108-N-Marianna-Ave-Los-Angeles-CA-90032/20644149_zpid/
Tourmaline St,Los Angeles,CA,90032,NA,NA,NA,NA,78,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/129566820_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4739 Huntington Dr N,LOS ANGELES,CA,90032,950000,NA,NA,NA,36,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4739-Huntington-Dr-N-Los-Angeles-CA-90032/20639084_zpid/
4416 Tourmaline St,Los Angeles,CA,90032,578000,NA,NA,NA,98,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4416-Tourmaline-St-Los-Angeles-CA-90032/2141239493_zpid/
5212 Ithaca Ave,Los Angeles,CA,90032,589900,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5212-Ithaca-Ave-Los-Angeles-CA-90032/20641867_zpid/
2404 Endicott St,Los Angeles,CA,90032,550000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2404-Endicott-St-Los-Angeles-CA-90032/20641858_zpid/
3752 Rosemead Ave,Los Angeles,CA,90032,755000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3752-Rosemead-Ave-Los-Angeles-CA-90032/20690180_zpid/
5100 Templeton St,Los Angeles,CA,90032,948000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5100-Templeton-St-Los-Angeles-CA-90032/20642023_zpid/
5723 Huntington Dr N,Los Angeles,CA,90032,2580000,NA,NA,NA,78,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5723-Huntington-Dr-N-Los-Angeles-CA-90032/2109310286_zpid/
Castalia Ave APT 4,Los Angeles,CA,90032,NA,NA,NA,NA,23,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581032_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Warwick Ave,Los Angeles,CA,90032,NA,NA,NA,NA,78,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135581067_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Templeton St,Los Angeles,CA,90032,NA,NA,NA,NA,436,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581093_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
N Eastern Ave,Los Angeles,CA,90032,NA,NA,NA,NA,281,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135581111_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Randolph Ave,Los Angeles,CA,90032,NA,NA,NA,NA,228,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135632236_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
